comment,class_label
"काकर पाथर जोड़ के मस्जिद लई बनाय।

ता चढ़ि मुल्ला बांघ दे , क्या बहरा हुआ खुदाय। 

यह मैं नहीं कबीर ने कहा था।",OAG
गटर के कीड़े,OAG
सीनाजोरी,OAG
श्री श्री जिनके  लिए पूरी सरकार ने दिल्ली मे यमुना भी बरबाद होने दी सारी सुविधा दी उनसे मिलने से देशविरोध का क्या मतलब बेशक कोई और मिलता तो उसे तमगा और पाकिस्तान का निवास मिलते,OAG
"मोदी जी अब ऐसा भी कानुन कर सकते है,,कि गरीब और आम जनता वोट ही ना करे|
और वोट करना है तो मोदी को ही करे|नही तो आम लोगोको कान पकडनेको कह सकते है|
राशन भी बंद कर सकते है|अब सब सत्ता अकेले ही हाथमे है|
आम लोग कही ना कही परेशान होने चाहिए,भ्रमिष्ठ होने चाहिए,सोचनेकेलिए दिमाग ही बंद होना चाहिए!!!
एैसा ही कानुन बना सकते है|
जनता जाए भाडमे !ऐसी ही सोच है मोदीजी की!बस बाकी कुछ नही|",OAG
"Jab iska do....... Ki

अल्लाह ताल्लाह के फजल से
पाकिस्तानी जेल में सज़ा काट रहे
आतंकी जकी-उर-रहमान-लखवी
की पत्नी पेट से है !😉

अल्लाह बडा हलालु है 😂",OAG
सोनिया और पप्पू के तलवे चाट चाट कर मानसिक सन्तूलन खो बैठे है यह डुगडुगी मियां । एक पगले के प्रलाप से अधिक कुछ नहीं है इस के बयान ।,OAG
केंद्र में सरकार बदलते ही सुरक्षा के सरोकार भी बदल गए। कई पुराने नेताओं से सुरक्षा वापस ली जा रही है। देखें किन नेताओं से वापस ली गई सुरक्षा... http://khabar.ndtv.com/video/show/news/341883?khabarfb=007,OAG
"⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽
जनाब श्री अरुण पूरी साहब !
पून्य प्रसून वाजपेयी नाम का, एकमात्र जहरीला मगरमच्छ ! आपके ""आजतक"" के पूरे परिवाररुपी तालाब को गंदा कर रहा है ! निकाल बाहर करो इस मनहूस को अरुण जी, वरना ये पूरे तालाब को गंदा कर देगा !
⚽⚽⚽⚽⚽⚽⚽⚽⚽⚽",OAG
अब मोदी और राजनाथ  को भोकना बंद कर नीद से  जागना  ही होगा ्नही तो देश कभी  माफ नही करेगा।,OAG
बेशर्मों वो विडियो सबके बारे में हैं।,OAG
"यह राजनेताओं की चाल है, जब फंसते हैं तो कमीने कहेंगे हनीट्रैप! कुछ खिला दिया, मुझको नंगा कर दिया, मेरी ईज्जत लूंट ली! गन्दी गन्दी हरकते की! उसे पता कैसे चला कि क्या हरकतें की? झूठे साल्ले ! पाप करके ऐडवान्स बचाव कार्य कर लेते हैं",OAG
